bintang,komentar
1,"Sudah 2 bulan lewat saya daftar lazpaylater tetapi belum aktiv sampai sekarang,sudah kontak cs tapi tidak respon"
1,kecewaaa baru download gapahaam mau belanjaas ribet udh co beberapakali psst ditolak alasan ada aktifasi yg lain di acc aku pdhl bru buat :( trs voucher gabisa dipakekalo pake gabisa belnjaaa superr)
1,"Terpaksa apk lazda mau saya hapus..selain tokonya banyak GK amanah .kururnya juga PDA kurang Azar..paket saya di batalkan sepihak..dengan alasan saya GK mau terima..padahal sya lgi nunggu""..itu trjadi dh 2 x..tolong kurir"" Kya gitu buang aza .di luar sana msih banyak orng"" yg pengen krja.."
1,"Semakin kemari Lazada gak jelas , harga yg tertera setelah di beli berbeda jauh harganya .."
1,"Lazada itu sangat lama saat ngirim barang, ntah dari pengantra nya, atau respon penjual nya juga, lemot,"
1,"kurang toleransi ngga ky aplk sebelh bisa memaklumi soal paylater nya, toh juga pas pembayan ada biaya tambahn nya juga, jd menurt saya kurang di segi paylater nya"
1,ini kenapa dengan lazada .. harga barang jauh beda lebih mahal saat checkout di banding harga di muka 🤣 app payah . Sudah cukup sampai di sini saya belanja di lazada. Mendi di app sbelah .
1,"Kenapa payleter saya di kunci padahal kemarin kn aturan saya bayar 2bulan, sama sayaa udah di lunasin bayar 3bulan tapi kenepa payleter ya di kunci kemarin kan saya udah kirim WA bayar ya telat gajian ya di undur terus kemana nama saya di beklis ya"
1,"Lazpayleter udah di bayar tepat waktu limit udah ada tapi tidak bisa di gunakan giliran terlambat di teror, WA telpon, pdahal udah langganan beli di lazda, selsai pembayaran stop pakai lazda. Biarpun sudah di bayarkan tetap di WA sana sini, pdahl sudah di bayrkan, berpa hri llu lewat 1 hri pembyran eh mlah hari ke 5 lagi di suru bayar, mksudnya apa Dasarrr belum juga telat udh semua di terorrr man bunganya gedee Nggak recommended laz bon lazda Bru telat sehari denda udah 80 rebu😩😩"
1,"Narik saldo di lazada lama bgt anjir, uangnya gak jadi buat belanja buat dana urgent, malah beberapa hari belum di tf ke rekening , beda dgn toko sebelah, gak lagi pake apk ini"
1,Pesanan dibatalkan oleh sistem terus semenjak 10.10 padahal itu akun yang sering saya pakai dari lama.
1,Tolong lah ini kenapa paylater saya tidak bisa digunakan.padahal semua tagihan perbulan saya lunasi semua .mohon untuk segera diperbaiki permasalahan ini .
1,"Kecewa LAZADA sekarang bikin kesel,harga tertera berubah jd mahal ketika di chack aut,kenapa bs bgitu tolong di perbaiki,ak ingin ttp brlanggann di LAZADA tp klo bgitu jd nya mls kn,tolong ak pngen LAZADA yg dulu😭"
1,masih menyulitkn tuk pguna baru saat mlakukn pilihan pmbyarn sinyal mati tidak tersave otomatis menyulitkn pengguna malah tryta produk tdk bs dbtalkn padhal tdk ad pnjlasan di detil produknya tdk bs dbtalkn mau di rubah pilihan pembayaran tdk bs jg..jd males blnja trsa mnyulitkn....yg sebelumnya sdh dibatalkan dan disetujui tiba2 ditolak tdk pernh pilih cod jd cod giliran mau ganti jadi transfer kirimnya satu2 barang padahal satu toko knp tdk dijumlahkan jd satu sj..merepotkn dan merugikn pembel
1,"Padahal saya sudah memilih aplikasi lazada sebagai tempat belanja online,tapi makin kesini lazada makin eror, kita sudah punya akun dan alamat masih saja diperbaharui alhasil alamat mesti daftar baru lagi ujung ujungnya gak bisa,sempat kesel banget"
1,"Saya udah langganan lazada bertahun"" dan GK sedikit yg saya beli di lazada ini . Tapi kenapa saya ngrefun barang saya kemarin . Udah di pickup sama kurirnya . Terus di batalin gitu aja . Kecewa sangat sangat kecewa . Karn marugikan customer. Dan sallernya juga udah dichat gak dibales"" . Tolong tindak lanjuti . Kalau mau buktinya saya ada bukti chatan kurir dan cctv pemberian paket ."
1,Saya kasih satu bintang karna sudah sering kali saya bertransi belum juga dapat limit😏 Akulaku baru aja dowload sudah dapat limit
1,Kekurangan nya lazada yaitu respon loading nya lambat banget gk bisa cepat dikit apa 😐
1,Udah bertahun2 pake lazada dapet tambahan paylater tapi ga bisa dipake cuma buat PHP 😌
1,Pengiriman nya super leleeeeeeeett apk belanja yg gak rekomend sama sekali. Harga yg d tampilkan tidak sesuai dengan harga ketika chek out.... Bintang 0 dr saya
1,"Pengiriman extra lama Tiba tiba paket Sering di batalkan tanpa kasih tau dulu, dan langsung di balikin ke seller nya wkwkwk Initinya ga banget sih aplikasi nya Mohon pihak lazada untuk di perbaiki lagi"
1,lazada kacaw pembayaran lancar sebelum jatuh tempo udah di bayar.pas mau cek out barang yang harga na lumayan gede malah di nonaktifkan
1,"aneh.. baru mau klaim voucher malah kena v99 padahal cuma punya 1 akun saja, lanjut uninstall 😬"
1,Tadinya saya suka sama aplikasi ini tapi sekarang nggak masa saya telat bayar di paylater cuma telat dua hari dendanya 80 ribu ambil motor aja yang harganya jutaan denda perharinya cuma 3000 perhari pokonya jangan sampai deh pakai paylater lagi sudah lagi susah di bikin susah .
1,"Baru kali ini kecewa banget sama lazada, mau pengembalian barang, ditolak langsung sama lazada tanpa ada komunikasi."
1,Pengiriman lambat.. harga pajang dan setlah klik beda.. seperti pembohongan..
1,"Dulu enak pake lazada,, pengiriman cepat, sekarang super lemot,status pengiriman tidak berubah,,sampai lewat estimasi,parah,,why"
1,"pelayanan yang sangat buruk,peninjauan dokumen affiliate 2 bulan gak kelar2."
1,"Bisa ga iklanmu itu ga spam di aplikasi atau situs lain,kok iklanya spam banget,dan maksa banget pengguna untuk buka lazada,tiba² ke lazada jdinyaa,aneh banget sampe segitunya,bikin jengkel"
1,"Maaf untuk lazada, saya kasih bintang 1 sangat kecewa sekali,akun saya kenapa tidak bisa pesan barang,selalu di batalkan padahal kemarin2 selalu aman,dan lazada ongkirnya kemahalan..mending saya uninstal."
1,Dulu sangat suka belanja di Lazada. Sekarang jadi Malas .. Krn Beda harga pas di masukkan keranjang.. Dan ongkirnya busa 2xlipat dari harga barang.
1,kurir ekspedisi nya kadang nyasar yg hrs nya ke kabupaten A jd ke kabupaten b dan cancel otomatis dgn alasan penerima tida ada di tmpt. sebetul nya bunga lazada lebih ringan dr yg di sebelah hanya saja untuk sistem paylater dlm segi penagihan kalah jauh.. jatuh tempo tgl 2 tgl 1 sdh terus2an di tlfn. pmbayaran cicilan baru 1x sdh d tlfn hrs di lunasi pas sudah di lunasi bulan depan nya di tagih kmbali krna uang kita di kmbalikn ke dlm saldo payleter yg awal nya saldo nya hnya 600rb jd 5jt..
1,"Lazada asu klo terima saller tuh yg bnr lahh udh brp kali aja beli di apk ini yg ada mengecewakan, padahal udh menanyakan detail barang kepihak sallr tpi yg selalu smpei itu ga sesuai apa yg dijanjikan dan apa yg di ucap saller nya makin buruk dan makin busuk toko"" Di lazada kebanyakan tukang tipu semua"
1,Makin kesini ongkirnya semakin mahal 🥴 mending beralih ke e-commerce lain aja banyak gratis ongkirnya
1,kurang puas karna terjadinya ke curangan pengiriman barang yang rusak di produk yang tidak sesuai di keterangan penjualan kami pembeli hanya menghabiskan uang waktu pengembalian di pemulangan barang seperti ancaman uang tak bisa kembali bila di retur dan sangat mengecewakan
1,"Harga gak sesuai sama yang tertera.pas di klik beli,harganya jadi 2x lipat.MEMBAGONGKAN !!!!"
1,"Dulu emang bagus sekarang harga fiktif,di chekout harga berubah jadi mahal. Parah keliatan aja murah di awal"
